GEOID,NAME,median_ageE,median_ageM,edu_totalE,edu_totalM,bachelorsE,bachelorsM,mastersE,mastersM,professionalE,professionalM,doctorateE,doctorateM,bachelors_plus,bachelors_plus_moe,bachelors_plus_rate,bachelors_plus_rate_moe
48001,"Anderson County, Texas",39.7,0.4,42299,228,4614,741,1373,356,297,123,227,137,6511,842.4458439567495,0.15392798884134376,0.0198991583816951
48199,"Hardin County, Texas",39.4,0.6,39160,204,6126,683,1811,412,182,92,98,52,8217,804.6123290131715,0.2098314606741573,0.020517693726540023
48243,"Jeff Davis County, Texas",58,6,1529,255,322,96,142,86,39,38,46,55,549,145.19297503667318,0.3590582079790713,0.07369816468426647
48329,"Midland County, Texas",32.8,0.3,109040,296,23321,1640,8205,1037,1536,425,778,248,33840,2001.7737134851182,0.3103448275862069,0.018338818891999193
48323,"Maverick County, Texas",30.3,0.3,33789,297,3375,552,796,283,570,258,81,64,4822,674.8725805661392,0.14270916570481518,0.019933715291808974
48503,"Young County, Texas",41.6,1.2,12548,205,2093,323,715,205,79,64,123,86,3010,397.29837653833926,0.23987886515779408,0.031418818104579346
48043,"Brewster County, Texas",40.9,3.9,7214,203,2043,340,950,285,162,85,125,88,3280,460.210821254781,0.4546714721375104,0.06249796415079244
48333,"Mills County, Texas",47.9,2.6,3295,165,622,115,235,77,31,32,31,33,919,145.8320952328396,0.27890743550834596,0.0419971409241017
48215,"Hidalgo County, Texas",30.5,0.1,516001,257,72515,2596,25290,1348,5239,658,3425,484,106469,3037.028152651865,0.20633487144404758,0.005884804814032001
48481,"Wharton County, Texas",38.1,0.6,27334,166,4280,542,1102,252,206,106,79,72,5667,611.3002535579386,0.20732421160459502,0.022328626991840357
48169,"Garza County, Texas",35.4,3.8,3523,257,254,101,81,65,10,12,15,18,360,122.0409767250328,0.1021856372409878,0.03382965908166794
48135,"Ector County, Texas",31.4,0.3,98717,328,12012,1365,4031,607,757,301,605,228,17405,1540.863069841055,0.17631208403821025,0.015597895675310424
48055,"Caldwell County, Texas",38.4,0.5,32591,185,4501,601,1465,307,204,82,134,91,6304,685.8972226215819,0.19342763339572275,0.021016941356042346
48445,"Terry County, Texas",37,1.3,7428,150,531,159,193,96,7,11,0,23,731,187.47533171060132,0.09841141626278944,0.02516064394771653
48497,"Wise County, Texas",39.5,0.5,50855,74,7858,685,2649,356,357,127,401,196,11265,806.5395216602842,0.22151214236554911,0.015856315644953278
48069,"Castro County, Texas",34.5,1.2,4468,117,662,175,142,70,11,13,16,26,831,190.70920271449933,0.1859892569382274,0.04240457426908702
48309,"McLennan County, Texas",34,0.2,164313,102,28389,1586,12693,1207,2836,401,3216,492,47134,2091.6763611993133,0.28685496582741477,0.012728583291880917
